,CNC1,CNC2,CNC3,CNC4,CNC5,CNC6,CNC7,CNC8,N
243,2,2,2,2,1,2,1,1,185
244,2,2,2,2,1,2,1,2,130
245,2,2,2,2,1,2,2,1,129
246,2,2,2,2,1,2,2,2,66
247,2,2,2,2,2,1,1,1,185
248,2,2,2,2,2,1,1,2,128
249,2,2,2,2,2,1,2,1,128
250,2,2,2,2,2,1,2,2,67
251,2,2,2,2,2,2,1,1,127
252,2,2,2,2,2,2,1,2,66
253,2,2,2,2,2,2,2,1,67
254,2,2,2,2,2,2,2,2,0
