,CNC1,CNC2,CNC3,CNC4,CNC5,CNC6,CNC7,CNC8,N
210,2,2,1,2,1,1,2,2,197
211,2,2,1,2,1,2,1,1,190
212,2,2,1,2,1,2,1,2,199
213,2,2,1,2,1,2,2,1,198
214,2,2,1,2,1,2,2,2,169
215,2,2,1,2,2,1,1,1,192
216,2,2,1,2,2,1,1,2,198
217,2,2,1,2,2,1,2,1,197
218,2,2,1,2,2,1,2,2,167
219,2,2,1,2,2,2,1,1,189
220,2,2,1,2,2,2,1,2,161
221,2,2,1,2,2,2,2,1,159
222,2,2,1,2,2,2,2,2,90
223,2,2,2,1,1,1,1,1,149
224,2,2,2,1,1,1,1,2,189
225,2,2,2,1,1,1,2,1,189
226,2,2,2,1,1,1,2,2,196
227,2,2,2,1,1,2,1,1,188
228,2,2,2,1,1,2,1,2,198
229,2,2,2,1,1,2,2,1,197
230,2,2,2,1,1,2,2,2,167
231,2,2,2,1,2,1,1,1,189
232,2,2,2,1,2,1,1,2,198
233,2,2,2,1,2,1,2,1,197
234,2,2,2,1,2,1,2,2,167
235,2,2,2,1,2,2,1,1,186
236,2,2,2,1,2,2,1,2,161
237,2,2,2,1,2,2,2,1,159
238,2,2,2,1,2,2,2,2,89
239,2,2,2,2,1,1,1,1,174
240,2,2,2,2,1,1,1,2,188
241,2,2,2,2,1,1,2,1,188
242,2,2,2,2,1,1,2,2,171
243,2,2,2,2,1,2,1,1,179
244,2,2,2,2,1,2,1,2,169
245,2,2,2,2,1,2,2,1,167
246,2,2,2,2,1,2,2,2,90
247,2,2,2,2,2,1,1,1,178
248,2,2,2,2,2,1,1,2,169
249,2,2,2,2,2,1,2,1,167
250,2,2,2,2,2,1,2,2,89
251,2,2,2,2,2,2,1,1,167
252,2,2,2,2,2,2,1,2,90
253,2,2,2,2,2,2,2,1,89
254,2,2,2,2,2,2,2,2,0
